('分解世界', '108', 'YoukuSer000000100000000000005008', '4', '0')
('分解世界', '109', 'monggotv000000102009330224589615', '9', '0')
('我叫白小飞', '108', 'YoukuSer000000100000000000008106', '4', '0')
('疯味英雄', '109', 'monggotv000000102009330328381925', '9', '0')
('生死回放', '109', 'monggotv000000105512441211516735', '9', '0')
('哥哥别闹啦', '内蒙芒果移动视频', 'NMGYDMG0000000100000000000011488', '9', '0')
('哥哥别闹啦', '内蒙芒果视频', 'monggotv000000109729573940307666', '9', '0')
('教室的那一间', '天津TV中心', 'TJTV0000000000100000000000003627', '9', '0')
('晓看天色暮看云', '电信天翼视讯', 'TYISXSER000000100000000000001068', '4', '1')
('晓看天色暮看云', '环球合一', '04710001000000100000000000074247', '4', '0')
('鸣鸿传', '天津TV中心', 'TJTV0000000000100000000000003371', '9', '0')
('万能图书馆', '内蒙优土视频', 'YoukuSer000000100000000000009910', '4', '0')
('冒险王卫斯理之蓝血人', '内蒙芒果视频', 'monggotv000000101417341729526996', '9', '0')
('冒险王卫斯理之蓝血人', '天津TV中心', 'TJTV0000000000100000000000002508', '9', '0')
('诡水疑云', '109', 'monggotv000000105452633660923467', '9', '0')
('S.C.I.谜案集', '掌玩', '04710001000000100000000000074819', '9', '0')
('S.C.I.谜案集', '环球合一', '04710001000000100000000000074935', '4', '0')
('S.C.I.谜案集', '天津TV中心', 'TJTV0000000000100000000000004357', '9', '0')
('S.C.I.谜案集', '天津TV中心', 'TJTV0000000000100000000000005095', '9', '0')
('双生灵探', '天津TV中心', 'TJTV0000000000100000000000002530', '9', '0')
('给我一个十八岁', '电信天翼视讯', 'TYISXSER000000100000000000000666', '4', '1')
('给我一个十八岁', None, '04710001000000100000000000071737', '4', '0')
('大王不容易', 'YANHUA', 'YANHUA31000000100000000000994623', '9', '0')
('万古仙穹', '天津TV中心', 'TJTV0000000000100000000000002621', '9', '0')
('以你为名的青春', '内蒙芒果视频', 'monggotv000000109079041778509568', '9', '0')
('以你为名的青春', '天津TV中心', 'TJTV0000000000100000000000002403', '4', '0')
('以你为名的青春', '内蒙芒果移动视频', 'NMGYDMG0000000100000000000011472', '4', '0')
('魔道祖师', 'YANHUA', 'YANHUA31000000100000000001761674', '9', '0')
('僧探慈心', '内蒙芒果视频', 'monggotv000000107733416377538565', '9', '0')
('狼乾劫', '内蒙芒果视频', 'monggotv000000105881830257760818', '9', '0')
('天意', '内蒙优土视频', 'YoukuSer000000100000000000010454', '4', '0')
('天意', '内蒙UT视频', '04710001000000100000000000020199', '9', '0')
('天意', None, '04710001000000100000000000065603', '9', '0')
('天意', '天津TV中心', 'TJTV0000000000100000000000002840', '9', '0')
('镇魂', '天津TV中心', 'TJTV0000000000100000000000004023', '9', '0')
('镇魂', '掌玩视听', '04710001000000100000000000075293', '4', '0')
('镇魂', '环球合一', '04710001000000100000000000074332', '4', '0')
('镇魂', '电信天翼视讯', 'TYISXSER000000100000000000000651', '4', '0')
('镇魂', '环球合一', 'HQHYCODE000000108050917000504902', '4', '0')
('燃血女神', '内蒙优土视频', 'YoukuSer000000100000000000009575', '4', '0')
('燃血女神', '内蒙UT视频', '04710001000000100000000000069515', '4', '0')
('燃血女神', '天津TV中心', 'TJTV0000000000100000000000003486', '9', '0')
('国民老公', '腾讯', 'HWC2CODE000000100000000000001285', '9', '0')
('国民老公', 'YANHUA', 'NMDXJG77000000100000000000961572', '9', '0')
('大清神捕', '天津TV中心', 'TJTV0000000000100000000000003482', '9', '0')
('高能医少', '109', 'monggotv000000105152473610394802', '9', '0')
('高能医少', '天津TV中心', 'TJTV0000000000100000000000003481', '9', '0')
('脑残师兄', None, '04710001000000100000000000004955', '4', '0')
('河神', '109', 'monggotv000000102017090110000007', '9', '0')
('河神', '109', 'monggotv000000105573939973127948', '9', '0')
('河神', 'YANHUA', 'NMDXJG77000000100000000004916533', '9', '0')
('那一场呼啸而过的青春', '内蒙UT视频', '04710001000000100000000000016539', '4', '0')
('那一场呼啸而过的青春', '掌玩视听', '04710001000000100000000000190367', '9', '0')
('画心师', '109', 'monggotv000000104338326612267897', '9', '0')
('画心师', None, '04710001000000100000000000015929', '9', '0')
('28岁未成年', '内蒙芒果视频', 'monggotv000000105430190388505446', '9', '0')
('刺客列传', None, '04710001000000100000000000017034', '9', '0')
