('20', '掌玩视听', 'IPTVNMZW00000001J14e41d6fdbb60db', '4', '0')
('20', '天津TV中心', 'TJTV0000000000010000000000602455', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010620', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010520', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010720', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010420', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007430', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024003500', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024008020', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010320', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007338', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007525', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007244', '4', '1')
('20', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007134', '4', '1')
('死亡序列', '112', 'TJTV0000000000010000000000010577', '9', '0')
('灰色', '方略路通', 'LutongVK000000010000001671907992', '4', '1')
('放生', 'WTHX', 'wtxhmsic000000010001610989363420', '4', '1')
('原谅', 'cpaj0118', '99100000000000012115474104067467', '9', '0')
('原谅', 'WTHX', 'wtxhmsic000000010001614320951748', '4', '1')
('我毕业了', 'CCTV', '00000001000000010000000104569313', '4', '1')
('过往', 'WTHX', 'wtxhmsic000000010001610990499368', '4', '1')
('黑蝴蝶', '骏声美视', '00000001000000010000000030656980', '4', '1')
('无人之境', 'WTHX', 'wtxhmsic000000010001610981235555', '4', '1')
('逆爱', '112', 'TJTV0000000000010000000000010127', '9', '0')
('美好生活', '星绚', '00000001000000010000000141399311', '4', '1')
('10', '掌玩视听', 'IPTVNMZW00000001J8e5f79349f9b5ed', '4', '0')
('10', '天津TV中心', 'TJTV0000000000010000000000602465', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010710', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010310', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010610', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007409', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010510', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024008010', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024008610', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024003520', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010410', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010810', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007213', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007509', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007606', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007706', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024008710', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007806', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007906', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007312', '4', '1')
('10', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024007111', '4', '1')
('十恶不赦', None, '04710001000000010000000008025686', '9', '0')
('十年', 'cpaj0118', '99100000000000011718315606062705', '4', '1')
('十年', 'WTHX', 'wtxhmsic000000010001610997382925', '4', '1')
('十年', 'WTHX', 'wtxhmsic000000010001608184851587', '4', '1')
('十年', 'WTHX', 'wtxhmsic000000010001614333163525', '4', '1')
('十年', 'WTHX', 'wtxhmsic000000010001614364416709', '4', '1')
('十年', 'WTHX', 'wtxhmsic000000010001614369320722', '4', '1')
('60', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010360', '4', '1')
('60', '内蒙电信华视网聚', 'MHSWJPRO000000010000000024010660', '4', '1')
('像天堂的悬崖', 'WTHX', 'wtxhmsic000000010001614313475394', '4', '1')
('沙尘暴', '内蒙电信岩华腾讯极光', 'NMDXJG77000000010030000005895045', '4', '1')
('沙尘暴', '星绚', '00000001000000010000000141263539', '4', '1')
('失衡的天平', 'CCTV', '00000001000000010000000111347999', '4', '1')
('汉尼拔', '109', 'monggotv000000017805695396504760', '9', '0')
('The One', '方略路通', 'LutongVK000000010000001674905572', '9', '0')
('The One', '方略路通', 'LutongVK000000010000001674905572', '4', '1')
('尘', 'cpaj0118', '99100000000000011718073406056822', '4', '1')
('尘', 'WTHX', 'wtxhmsic000000010001608171714548', '4', '1')
('13号怪异岛', '101', '00000001000000010000000020947769', '9', '0')
('她们', 'WTHX', 'wtxhmsic000000010001610945355432', '4', '1')
('面具', 'cpaj0118', '99100000000000011718513506071358', '4', '1')
('面具', 'cpaj0118', '99100000000000011718095906057878', '4', '1')
('面具', '方略路通', 'LutongVK000000010000001671906245', '4', '0')
('面具', '天津TV中心', 'TJTV0000000000010000000000290423', '4', '1')
('面具', 'WTHX', 'wtxhmsic000000010001608200506385', '4', '1')
('面具', 'WTHX', 'wtxhmsic000000010001608175566778', '4', '1')
('面具', 'WTHX', 'wtxhmsic000000010001610983334869', '4', '1')
('面具', 'WTHX', 'wtxhmsic000000010001614374981323', '4', '1')
('人', 'WTHX', 'wtxhmsic000000010001620986789978', '4', '1')
('花花公子', 'WTHX', 'wtxhmsic000000010001614357031156', '4', '1')
('复仇', '109', 'monggotv000000017503722247134188', '9', '0')
('延安颂', '方略路通', 'LutongVK000000010000000901000781', '4', '1')
('铁甲狂猴之决战黎明', '内蒙电信岩华腾讯极光', 'NMDXJG77000000010030000009425586', '9', '0')
('铁甲狂猴之亡命雷霆', '内蒙岩化移动视频', 'YANHUA31000000010040000009351916', '9', '0')
('铁甲狂猴之亡命雷霆', '内蒙电信岩华腾讯极光', 'NMDXJG77000000010030000009350493', '9', '0')
('痕迹', 'WTHX', 'wtxhmsic000000010001610979215609', '4', '1')
('痕迹', 'WTHX', 'wtxhmsic000000010001610990891369', '4', '1')
('看不见的枕边人', '内蒙岩化移动视频', 'YANHUA31000000010040000009050203', '9', '0')
('吴山居事件账之燃骨', '内蒙岩化移动视频', 'YANHUA31000000010040000007300926', '9', '0')
('云南虫谷之献王传说', '内蒙电信华数优酷', 'WASUNMYK0000000100000000P1419820', '9', '0')
('摸金祖师', '内蒙岩化移动视频', 'YANHUA31000000010040000007647290', '9', '0')
('如来神掌', '岩华文化', '00000001000000010000000033669131', '4', '1')
('如来神掌', '107', 'HUASHUNM000000010000000043303921', '9', '0')
('如来神掌', '内蒙岩化移动视频', 'YANHUA31000000010040000008958240', '9', '0')
('如来神掌', '内蒙芒果视频', 'monggotv000000017419962216682032', '9', '0')
('如来神掌', '内蒙芒果移动视频', 'NMGYDMG0000000010000000000054935', '9', '0')
('如来神掌', '内蒙芒果移动视频', 'NMGYDMG0000000010000000000054935', '9', '0')
('如来神掌', 'WTHX', 'wtxhmsic000000010001610981900620', '4', '1')
('兄弟，别闹！', '天津TV中心', 'TJTV0000000000010000000000189251', '9', '0')
('兄弟，别闹！', '天津TV中心', 'TJTV0000000000010000000000059057', '9', '0')
('意料之外', '101', '00000001000000010000000023572595', '9', '0')
('夺命追凶', '内蒙芒果视频', 'monggotv000000016882819722524149', '9', '0')
('以你为名的青春', 'cpaj0118', '99100000000000011717554506051782', '4', '1')
('以你为名的青春', 'WTHX', 'wtxhmsic000000010001608108399745', '4', '1')
('白蛇前传', None, '04710001000000010000000013372039', '9', '0')
('天意', 'cpaj0118', '99100000000000011717522706050342', '4', '1')
('天意', 'cpaj0118', '99100000000000011717553506051704', '4', '1')
('天意', '方略路通', 'LutongVK000000010000001671906850', '4', '0')
('天意', 'WTHX', 'wtxhmsic000000010001608055673422', '4', '1')
('天意', 'WTHX', 'wtxhmsic000000010001608108110851', '4', '1')
('天意', 'WTHX', 'wtxhmsic000000010001614350174806', '4', '1')
('镇魂', 'WTHX', 'wtxhmsic000000010001610977399707', '4', '1')
('国民老公', '108', 'YoukuPro000000010000000000008434', '4', '1')
('血战铜锣湾3', None, '04710001000000010000000006688722', '9', '0')
('催眠大师', None, '04710001000000010000000003985324', '9', '0')
('催眠大师', '109', 'monggotv000000012017091410000029', '9', '0')
('催眠大师', '108', 'YoukuPro000000010000000000007981', '4', '1')
('催眠大师', '109', 'monggotv000000017413857043840692', '9', '0')
('催眠大师', '天津TV中心', 'TJTV0000000000010000000000010066', '4', '1')
('催眠大师', '107', 'HUASHUNM000000010000000026813501', '9', '0')
('催眠大师', '腾讯', 'HWC2CODE000000010000000000000301', '4', '0')
('催眠大师', '风华视听', '00000001000000010000000027616196', '4', '1')
('催眠大师', '内蒙芒果视频', 'monggotv000000014102531061775580', '4', '1')
('催眠大师', '博信闳', '00000001000000010000000132421520', '9', '0')
('催眠大师', '内蒙移动华数优酷', 'WASUMYYK00000001f3a913e538900000', '4', '1')
('催眠大师', '内蒙电信华数优酷', 'WASUNMYK0000000100000000P1883160', '4', '1')
('婚后进行时', '108', 'YoukuPro000000010000000000009319', '4', '1')
('不忘初心', 'CCTV', '00000001000000010000000035142347', '4', '1')
('不忘初心', 'CCTV', '00000001000000010000000074951308', '9', '0')
('不忘初心', '方略路通', 'LutongVK000000010000001671906325', '4', '0')
('不忘初心', 'cpaj0118', '99100000000000010816265106960414', '4', '1')
('我想静静', '方略路通', 'LutongVK000000010000001671906452', '4', '0')
('我想静静', '天津TV中心', 'TJTV0000000000010000000000292942', '4', '1')
('我想静静', 'WTHX', 'wtxhmsic000000010001614361577810', '4', '1')
('东京血族', None, '04710001000000010000000006687512', '9', '0')
('极品伪娘', '108', 'YoukuPro000000010000000000003944', '4', '0')
('极品伪娘', '天津TV中心', 'TJTV0000000000010000000000009924', '9', '0')
('28岁未成年', '天津TV中心', 'TJTV0000000000010000000000168076', '9', '0')
('28岁未成年', None, '04710001000000010000000004631532', '9', '0')
('28岁未成年', '108', 'YoukuPro000000010000000000003786', '4', '0')
('28岁未成年', None, '04710001000000010000000004823308', '4', '1')
('28岁未成年', '109', 'monggotv000000017452318420873085', '9', '0')
('28岁未成年', '107', 'HUASHUNM000000010000000126821161', '9', '0')
('28岁未成年', '内蒙UT视频', '04710001000000010000000012445878', '9', '0')
('28岁未成年', '天津TV中心', 'TJTV0000000000010000000000072955', '9', '0')
('28岁未成年', '天津TV中心', 'TJTV0000000000010000000000177669', '9', '0')
('28岁未成年', 'UTF-8', 'MHSWJPRO000000010000000000001762', '4', '1')
('艳遇', '天津TV中心', 'TJTV0000000000010000000000290346', '4', '1')
('艳遇', 'XC', 'EGAMECMS000000010000100000103278', '9', '0')
